text,size,topic
nl.jteam.search.solrext.spatial.spatialqparserplugin,26038.0,2
spatialqparserplugin.java,13015.0,2
init,12969.0,2
spatialqparser,12968.0,2
spatialqparser.parsepolygons(spatialqparserplugin.java,6551.0,2
vertices,6551.0,2
insufficient,6551.0,2
has,6551.0,2
polygon,6551.0,2
number,6536.0,2
spatialqparser.extractsearchareas(spatialqparserplugin.java,6504.0,2
nl.jteam.search.solrext.spatial.spatialqparserplugin.createparser(spatialqparserplugin.java,6490.0,2
org.mortbay.jetty.servlet.servlethandler,6479.0,2
org.apache.solr.search.qparser.getparser(qparser.java,6468.0,2
org.mortbay.jetty.httpconnection.handlerequest(httpconnection.java,6465.0,2
org.mortbay.jetty.handler.handlercollection.handle(handlercollection.java,6465.0,2
org.apache.solr.common.solrexception,6461.0,2
com.solr,6459.0,2
org.apache.solr.servlet.solrdispatchfilter.dofilter(solrdispatchfilter.java,6456.0,2
com.trulia.best.solr.handler.watchingrequesthandler.handlerequestbody(watchingrequesthandler.java,6453.0,2
org.mortbay.jetty.handler.handlerwrapper.handle(handlerwrapper.java,6449.0,2
org.mortbay.io.nio.selectchannelendpoint.run(selectchannelendpoint.java,6446.0,2
org.mortbay.jetty.httpconnection.handle(httpconnection.java,6446.0,2
org.mortbay.jetty.security.securityhandler.handle(securityhandler.java,6446.0,2
activemq.solrtoactivemqhandler.handlerequestbody(solrtoactivemqhandler.java,6444.0,2
org.mortbay.jetty.servlet.servlethandler.handle(servlethandler.java,6441.0,2
org.mortbay.jetty.handler.contexthandler.handle(contexthandler.java,6439.0,2
org.apache.solr.servlet.solrdispatchfilter.execute(solrdispatchfilter.java,6438.0,2
org.mortbay.thread.boundedthreadpool,6434.0,2
org.mortbay.jetty.httpparser.parsenext(httpparser.java,6434.0,2
org.apache.solr.handler.component.searchhandler.handlerequestbody(searchhandler.java,6434.0,2
org.mortbay.jetty.httpconnection,6433.0,2
org.mortbay.jetty.server.handle(server.java,6431.0,2
org.mortbay.jetty.webapp.webappcontext.handle(webappcontext.java,6430.0,2
org.mortbay.jetty.handler.contexthandlercollection.handle(contexthandlercollection.java,6428.0,2
org.apache.solr.core.solrcore.execute(solrcore.java,6426.0,2
org.mortbay.jetty.httpparser.parseavailable(httpparser.java,6425.0,2
poolthread.run(boundedthreadpool.java,6423.0,2
org.mortbay.jetty.servlet.sessionhandler.handle(sessionhandler.java,6414.0,2
cachedchain.dofilter(servlethandler.java,6411.0,2
requesthandler.headercomplete(httpconnection.java,6404.0,2
org.apache.solr.handler.component.querycomponent.prepare(querycomponent.java,6401.0,2
org.apache.solr.handler.requesthandlerbase.handlerequest(requesthandlerbase.java,6396.0,2
org.apache.solr.handler.component.collapsecomponent.prepare(collapsecomponent.java,1681.0,2
com.trulia.best.solr.handler.geohashrequesthandler.handlerequestbody(geohashrequesthandler.java,120.0,2
